created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Aug 07 00:26:14 +0000 2023;1688345773333962752;"Bunga menur bunga raflesia,  mekar sekuntum merah merona.  Citra luhur wanita Indonesia,  pribadi anggun dengan kebaya.  Pantun ini dibacakan Ibu Negara di awal acara Istana Berkebaya yang digelar untuk memeriahkan HUT ke-78 kemerdekaan di jalan depan Istana Merdeka, kemarin. https://t.co/0BN6tqtI47";63;425;1146;11014;in;366987179;1688345773333962752;jokowi;https://twitter.com/jokowi/status/1688345773333962752
Sun Aug 06 04:54:51 +0000 2023;1688050984168386561;"Pergelaran angklung di GBK semalam berhasil memecahkan rekor dunia Guinness World of Record untuk pergelaran angklung terbesar.  Rekor sebelumnya tercipta di Monumen Washington, Washington D.C., Amerika Serikat, pada 9 Juli 2011 ketika musik angklung dimainkan oleh 5.182 orang. https://t.co/jqyxVv3vnK";2;10;65;546;in;366987179;1688050970524299264;jokowi;https://twitter.com/jokowi/status/1688050984168386561
Sun Aug 06 04:54:49 +0000 2023;1688050976811520000;"Sebanyak 15.110 orang membawakan lagu nasional Berkibarlah Benderaku dan lagu perdamaian The Wind of Change dengan alat musik tradisional dari Jawa Barat yang sudah diakui UNESCO sebagai warisan budaya nonbenda itu. https://t.co/fRMzyLqFR0";4;18;126;812;in;366987179;1688050970524299264;jokowi;https://twitter.com/jokowi/status/1688050976811520000
Sun Aug 06 04:54:48 +0000 2023;1688050970524299264;"Menyaksikan pergelaran angklung oleh 15 ribuan orang di Stadion Utama Gelora Bung Karno Jakarta, semalam.   Pesertanya, dari anggota Organisasi Aksi Solidaritas Era Kabinet Indonesia Maju, PNS, TNI-Polri sampai pelajar, hendak mencatatkan rekor dunia pergelaran angklung terbesar. https://t.co/SKOzvsraAv";16;140;511;3328;in;366987179;1688050970524299264;jokowi;https://twitter.com/jokowi/status/1688050970524299264
Fri Aug 04 05:34:12 +0000 2023;1687336108919799808;"Jalan Tol Ciawi-Sukabumi ruas Cigombong-Cibadak juga mempercepat mobilitas orang dan barang sehingga meningkatkan jumlah investasi di Jawa Barat. Berdasarkan hasil survei, infrastuktur jalan tol di Jawa Barat menjadi alasan utama bagi para investor berinvestasi di provinsi ini. https://t.co/8v7m0ztWdF";2;24;80;522;in;366987179;1687336094613069824;jokowi;https://twitter.com/jokowi/status/1687336108919799808
Fri Aug 04 05:34:10 +0000 2023;1687336101068124161;"Dengan adanya ruas tol baru ini, perjalanan dari Jakarta ke Sukabumi hanya memakan waktu sekitar 2,5 jam saja. Jalan tol ini juga mempermudah akses menuju sejumlah tempat wisata di sekitar Sukabumi, di antaranya Pelabuhan Ratu, Geopark Ciletuh, Ujung Genteng, hingga Gunung Gede. https://t.co/jhtyXZV78Y";8;29;104;651;in;366987179;1687336094613069824;jokowi;https://twitter.com/jokowi/status/1687336101068124161
Fri Aug 04 05:34:08 +0000 2023;1687336094613069824;"Dulu, perjalanan dengan mobil dari Jakarta ke Sukabumi, Jawa Barat, makan waktu 5-6 jam. Lalu, jalan tol Bocimi dibangun.   Ruas tol Bocimi Seksi I Ciawi-Cigombong telah beroperasi. Dan hari ini, saya meresmikan beroperasinya ruas tol Cigombong-Cibadak yang panjangnya 11,9 km. https://t.co/pZ07sGGOJa";60;339;586;3889;in;366987179;1687336094613069824;jokowi;https://twitter.com/jokowi/status/1687336094613069824
Thu Aug 03 08:27:37 +0000 2023;1687017365085769728;"LRT Jabodebek nantinya akan terintegrasi dengan moda transportasi lainnya seperti MRT, TransJakarta, kereta bandara, hingga KRL. Stasiun Dukuh Atas di Jakarta Pusat akan menjadi titik sentral pertemuan moda-moda transportasi tersebut. https://t.co/0gUbNNrBYu";7;55;160;1175;in;366987179;1687015346405007360;jokowi;https://twitter.com/jokowi/status/1687017365085769728
Thu Aug 03 08:19:36 +0000 2023;1687015346405007360;"Pengoperasian LRT Jabodebek akan menjadikan keamanan dan keselamatan sebagai faktor utama. Karena itu, kita tidak akan tergesa-gesa mengoperasikannya.   LRT ini merupakan yang pertama di Indonesia. Wajar jika masih ada kekurangan yang perlu dievaluasi dan diperbaiki. https://t.co/3JCrXuQljl";163;454;506;3377;in;366987179;1687015346405007360;jokowi;https://twitter.com/jokowi/status/1687015346405007360
Thu Aug 03 07:53:53 +0000 2023;1687008875864846336;"Hari ini saya kembali menjajal kereta LRT Jabodebek dari Stasiun Harjamukti, Depok, Jawa Barat hingga Stasiun Dukuh Atas, Jakarta Pusat. Kereta berangkat pukul 08.18 WIB dan, seperti saat beroperasi normal nanti, berhenti di sejumlah stasiun yang dilalui.   Alhamdulillah,… https://t.co/FntFaME4R8";62;272;917;5405;in;366987179;1687008875864846336;jokowi;https://twitter.com/jokowi/status/1687008875864846336
